1	Die Rampe (Kellertheater, Kramgasse 55, Bern)
1	Deutschlandfunk
1	Club français du livre
1	Centre national de la recherche scientifique
1	Centenaire de Théophile Gautier [Urheber] [nicht dokumentiert]
1	Casa Musicale Sonzogno
1	Caisse cantonale vaudoise de compensation AVS
1	C.I.D.E.L.E (Centre International de Diffusion et d'Édition des Littératures et des écritures)
1	Bugnion Conseils en propriété intellectuelle
1	Boyars (London) [Korresp.] [nicht dokumentiert]
1	Bild
1	Bibliothèque des arts
1	Bern (Kanton). Regierungsrat
1	Bern (Kanton). Betreibungsamt
1	Bern (Kanton). Amt für Kultur
1	Bern (BE : Burgergemeinde). Kulturkommission
1	Benanntze Körperschaft
1	Benanntee Institution
1	Benannte Körpperschaft
1	Benannte Körpershaft
1	Benannte Körperschaft 
1	Benannte Körperschadft
1	Benannte Köprschaft
1	Benannte Insitution
1	Benannte Gesellschaft
1	Bayerischer Rundfunk
1	Bayerische Akademie der schönen Künste
1	Autorinnen und Autoren der Schweiz
1	Autoren-Galerie 1 München
1	Auieo Ediciones
1	Atelier-Theater Bern
1	Association pour le droit de mourir dans la dignité (France)
1	Association des Amis de La Dogana
1	Arrangeur
1	Arche Kalender Verlag GmbH
1	Appenzell Ausserrhoden (Kanton). Erziehungs- und Volkswirtschaftsdirektion
1	Ansetzungssachtitel von Bearbeiter/in
1	Annotator
1	Ambassade de Suisse en France
1	Alliance Française (Nizza)
1	Alfred Ibach-Verlag
1	Albion Assurances
1	Akademie Schloss Solitude (Stuttgart)
1	Adr.
1	Aargauische Kantonalbank
1	ADressat
1	206bHAN007462 [nicht dokumentiert]
1	206bHAN007048 [nicht dokumentiert]
1	206bHAN006830 [nicht dokumentiert]
1	206bHAN005853 [nicht dokumentiert]
1	206bHAN005814 [nicht dokumentiert]
1	206bHAN002256 [nicht dokumentiert]
1	15. Reservekorps [Urheber] [nicht dokumentiert]
1	...
1	"ASTEJ Groupe de travail ""Concours d'auteurs"""
1	 [Herausgeber] [nicht dokumentiert]
1	 Genannte Körperschaft
