wert	haeufigkeit
Hohenlohe-Ingelfingen, Christiana Eleonora von (1709-1782)	67
Williards, Johann Christian	67
Ehrhart, Christian	67
Trellund, Johannes	67
Zeidler, Richard (1905-1985)	67
Schwehr, Lene	67
Willam, Walter	66
Lieber, G.	66
Peters	66
Eisler, Hilde (1912-2000)	66
Butze, Käthe	66
Krause, Wilhelm August	66
Bowman, H... L...	66
Bodewig, C.	66
Brendler, W.	66
Hackradt, August (1856-1899) [vermutlich]	66
Mendelssohn, ...	66
Chamisso, Hermann von (1832-1886)	66
Wustmann (Familie)	66
Mayer, Melanie	66
Unbekannt (KN )	66
Laugwitz, Franz	66
Sprenger, Eugen	66
Mertel, Fritz	66
Roeske, Winfried	66
Sensburg, Oscar	66
Hart	66
Harck, Ole (1940-)	66
Herda zu Brandenburg, Karl Friedrich Emil von	66
Biel, Hans	66
Schrenck, Maja von (1893-1975)	66
Magliano, Lydia	66
Vogelsanger, Paul (1880-1967)	66
Becker, Wilhelm David (1746-1818)	66
Heerbrand, Jacob Friedrich	66
Lee, Daiwon (1921-)	66
Felder, Johann Josef	65
Wolf, H.	65
Meissner, ...	65
Reich	65
Eckardt	65
Pfeiffer	65
Schlesinger	65
Marholz, Gerda	65
Hertz, H.	65
Janetzky, Helma	65
Kuttner, Fritz A.	65
Kuttner, Ruth	65
Biel, Johanna (1770-1850)	65
Kaiser, E.	65
Jacobäer, Friedrich Gotthold	65
Bleyl	65
Majer, Johann Christoph	65
Petri, Leo [vermutlich]	65
Zacharias, Charly	65
Edelman, Cornelis Hendrik	65
Schwaner (Familie)	65
Kuprian, Elisabeth	65
Wehner, Wolfgang (1917-1964)	65
Denny, Marilyn	65
Hoernigk	65
Lorenz, Sigismund Friedrich	65
Öhme, Christian Daniel	65
Kayser, ...	64
Hoffmann, Ludwig	64
Nicolai	64
Günther, ?	64
Groß, Günter	64
Horn, Richard (1898-1989)	64
Ammende, Annerose	64
Ehrlich, Josef	64
Gottschau, Emil	64
Meyer, Hermann	64
Dietterle, ... [vermutlich]	64
Colt, C.F.	64
Posnjak, Walentina	64
Köppen, Carl Friedrich	64
Fraidl, Franz Sales (1847-1892)	64
Furno, André (1940-)	64
Frommann, Nathanael Sigismund	64
Behrens, Nadja	64
Müller, Anton	64
Lauterbach, Marie	64
Walter, Eva	64
Kerschhackl, Josef	64
Winkler, Andreas	64
Taubert, Christoph	64
Ritter	63
Becher, Dana	63
Wulffen, Camilla	63
Faselt, Matthäus (1613-1667)	63
Baldauf, Alois	63
Schubert, Wilhelmine	63
Kruschwitz, P. (-1906)	63
Robilant, Claire H. de	63
Gudino Gual, Bernarda	63
Fischer, Jörg	63
Lötzsch, Werner	63
Cudmore, Richard (1787-1840)	63
Bismarck, Bertha Elisabeth von (1687-)	63
Zimmermann, Hermann	63
Freese, Ernst (1925-1990)	63
Mayer, Lisa M.	63
Lange, Otto (1850-)	63
Geck	63
Hinz, Hermann (1916-2000)	63
Neuburger, Elise	63
Bode, Carl Ludwig Franz von (1725-)	63
_pnd11901470x	62
Arnold	62
..., Elise	62
Jesberg, Paulgerd	62
Hoinville, Jean (1856-)	62
Eich, Günther [vermutlich]	62
Falke, Johann Ernst	62
