wert	haeufigkeit
Redaktion Simplicissimus (München)	44
Universität (Leipzig) / Akademischer Senat	44
Verein der Plakatfreunde (Berlin) (1905-)	44
Breest & Gelpcke (Berlin)	44
Tanz für Toleranz	44
Newton Moraes Tanzcompagnie (1997-)	44
Hamburger Anzeiger : Hamburger freie Presse ; Hamburger Allgemeine	44
Hamburgischer Correspondent	44
Publizistisches Büro und Verlag Dr. Herzog (Tübingen)	44
Westminster Press (Philadelphia)	44
University of Edinburgh. Department of Mathematical Physics	44
Generalverwaltung der Kaiser-Wilhelm-Gesellschaft	44
Europa-Akademie Villa Decius (Krakow)	44
Schauspielhaus Düsseldorf / Verwaltung (1904-1932)	44
Glauchasche Anstalten (Halle,Saale)	44
Asiatische Kompanie (Dänemark)	44
Illustrierte Zeitung (Leipzig; Berlin) (1843-1944)	43
Verlag Martin Glasl (Hausham)	43
Kunstwart / Leitung (Dresden)	43
Tägliche Rundschau (Zeitung)	43
Dümmler, Ferdinand (Verlagsbuchhändler)	43
Neue Rundschau (Zeitung)	43
Zeitung für die elegante Welt (1801-1859)	43
Verband deutscher Vereine für Volkskunde	43
Hannoverscher Courier (Zeitung) (1854-1941)	43
Urania Volksbildungsverein (Prag)	43
Tanz für Toleranz (1997, Bonn) [vermutlich]	43
Vereinigung für Kunstpflege (Hamburg)	43
