wert	gesamt	mit_source	anteil_mit_source_pct
Fantasie	7	0	0.00
Ballett	7	0	0.00
Geistliches Lied	7	0	0.00
Choral	7	0	0.00
Oratorium	7	0	0.00
Tanz	7	0	0.00
[Gattung (verschiedene)]	7	0	0.00
Marsch	7	0	0.00
Regest	7	7	100.00
Verordnung	7	7	100.00
Ehrenzeichen	7	7	100.00
Radiovorträge	6	0	0.00
Handschriften	6	0	0.00
Quintett	6	0	0.00
Rezitativ	6	0	0.00
Zeitschrift	6	0	0.00
Hochzeitsgeschenk	6	6	100.00
Objekt	6	0	0.00
Programm	6	6	100.00
Kriegsbrief	6	0	0.00
Drehbücher	5	0	0.00
Aufsätze zu Zeitfragen	5	0	0.00
Theologisches	5	0	0.00
Schauspielmusik	5	0	0.00
Capriccio	5	0	0.00
Präludium	5	0	0.00
Agnus Dei	5	0	0.00
Graduale	5	0	0.00
Gloria	5	0	0.00
Vereinbarung	5	5	100.00
Datenträger	5	5	100.00
Danksagung	5	5	100.00
Ansprachen und Begrüßungen	4	0	0.00
Arbeiten für den Rundfunk	4	0	0.00
Kurze Prosa. Fiktional	4	0	0.00
Kollegnachschriften	4	0	0.00
Kopierbücher	4	0	0.00
Verzeichnisse	4	0	0.00
Notturno	4	0	0.00
Fuge	4	0	0.00
Intermezzo	4	0	0.00
Proprium missae	4	0	0.00
Introitus	4	0	0.00
Buchhandschrift	4	4	100.00
Ring	4	4	100.00
Arbeitstransparent	4	4	100.00
Publikation Zeitschrift	4	0	0.00
Einblattdruck. Flugschrift	4	0	0.00
Memoiren	4	4	100.00
Transkriptionen	3	0	0.00
Lektoratsgutachten	3	0	0.00
Seminarübungen	3	0	0.00
Lektoratsdokumente	3	0	0.00
Oden	3	0	0.00
Aphoristisches	3	0	0.00
Familienarchiv	3	0	0.00
Filmmusik	3	0	0.00
Laudes	3	0	0.00
Bagatelle	3	0	0.00
Tantum ergo	3	0	0.00
Alleluja	3	0	0.00
Pastorale	3	0	0.00
Volksmusik	3	0	0.00
Pressestimme	3	0	0.00
Editionsarchiv	2	0	0.00
Kurze Prosa. Nichtfiktional	2	0	0.00
Verlagskorrespondenzen	2	0	0.00
Briefnachlass	2	0	0.00
Instrumental	2	0	0.00
Vokal	2	0	0.00
Zeitschriftenartikel	2	0	0.00
Lehrbuch	2	0	0.00
Technische Zeichnung	2	0	0.00
Rondeau	2	0	0.00
Studie	2	0	0.00
Communio	2	0	0.00
Hörspielmusik	2	0	0.00
Tropus	2	0	0.00
Septett	2	0	0.00
Sonatine	2	0	0.00
Toccata	2	0	0.00
Kantilene	2	0	0.00
Gesang	2	0	0.00
Vesper	2	0	0.00
Kyrie	2	0	0.00
Litanei	2	0	0.00
Etüde	2	0	0.00
Kinderlied	2	0	0.00
Ode	2	0	0.00
Kavatine	2	0	0.00
Stadtplan	2	0	0.00
Symphonie concertante	2	0	0.00
Divertimento	2	0	0.00
Aufsatzsammlung	2	0	0.00
Papyrus	2	0	0.00
Handschrift |2 gnd-content	2	0	0.00
Parteibuch	2	0	0.00
Familiendokument	2	0	0.00
"Publikation
                  Zeitungsartikel"	2	0	0.00
"Publikation
                  Zeitschriftenartikel"	2	0	0.00
Landkarte	2	2	100.00
Slg und Teilnachlass	1	0	0.00
Redaktionskorrespondenzen	1	0	0.00
Redaktionsarchiv aus den Jahren 1922-2019	1	0	0.00
Sammlung (Kopien)	1	0	0.00
Sammlung Manuskripte des Verlags Johs. Storm	1	0	0.00
Sammlung zu den IVG-Kongressen in Amsterdam (1965), Princeton (1970), Basel (1980) und Göttingen (1985)	1	0	0.00
Teilnachlaß	1	0	0.00
Aufsätze zur Musik	1	0	0.00
Aufsätze zur Politik	1	0	0.00
Nachrufe	1	0	0.00
Theaterkritiken	1	0	0.00
Bibliographisches	1	0	0.00
Sammlung Briefe von 1938-1978 zu den elf Auflagen des Autorenlexikons, erschienen unter Titeln wie »Ausländische Dichter und Schriftsteller unser	1	0	0.00
Verlagsarchivteil	1	0	0.00
Sammlung von Autographen für die geplante Edition »Deutscher Geist in Handschriften deutscher Menschen«	1	0	0.00
Sammlung zum Friedenspreis des Deutschen Buchhandels aus den Jahren 1972-1988	1	0	0.00
Sammlungen	1	0	0.00
(mit Autographensammlung)	1	0	0.00
Korrespondenzen zur Kleist-Forschung und zu Kleist-Ausgaben	1	0	0.00
Sammlung Manuskripte und Briefe deutscher Schriftsteller im Exil	1	0	0.00
Sammlung (vorwiegend Kopien und Abschriften aus Archiv- und Bibliotheksbeständen und aus Privatbesitz; der Nachlaß ist im Zweiten Weltkrieg verbrannt)	1	0	0.00
(Peter Pongs-Stiftung)	1	0	0.00
Literarisches Archiv	1	0	0.00
a	1	0	0.00
eigene Sammlung des DLA	1	0	0.00
Features	1	0	0.00
Sammlung aus dem Umkreis des Deutschen Pazifistischen Studentenbundes und des Deutschen Friedenskartells	1	0	0.00
aus dem Nachlass	1	0	0.00
und Autographensammlung	1	0	0.00
Restnachlass	1	0	0.00
Kolleghefte	1	0	0.00
Teilnachlaß (Berliner Nachlaß)	1	0	0.00
und Teile des Nachlasses	1	0	0.00
Aphorismensammlung	1	0	0.00
Teilnachlass mit Sammlung	1	0	0.00
Depositum im Siegfried Unseld Archiv	1	0	0.00
Dichterische Schriften	1	0	0.00
Depositum in der C-Reihe	1	0	0.00
Notenhandschrift	1	0	0.00
Konferenzschrift	1	0	0.00
Actes de congrès	1	0	0.00
Atti di congressi	1	0	0.00
Bestand Siegfried Unseld Archiv	1	0	0.00
Elegie	1	0	0.00
Kantante	1	0	0.00
Quodlibet	1	0	0.00
Praeludium und Fuge	1	0	0.00
Präludium und Fuge	1	0	0.00
Romanze	1	0	0.00
Invention	1	0	0.00
Rhapsodie	1	0	0.00
Concertino	1	0	0.00
Sextett	1	0	0.00
Impromptu	1	0	0.00
Scherzo	1	0	0.00
Oktett	1	0	0.00
Vorspiel	1	0	0.00
Intrada	1	0	0.00
Pavane	1	0	0.00
Galliarde	1	0	0.00
Sequenz	1	0	0.00
Magnificat	1	0	0.00
Fughette	1	0	0.00
Mysterienspiel	1	0	0.00
Pater noster	1	0	0.00
Credo	1	0	0.00
Madrigal	1	0	0.00
Foxtrot	1	0	0.00
Song	1	0	0.00
Sanctus	1	0	0.00
Walzer	1	0	0.00
Prélude	1	0	0.00
Boogie-Woogie	1	0	0.00
Gregorianischer Choral	1	0	0.00
Soldatengesang	1	0	0.00
Miserere mei Deus	1	0	0.00
Foxtrott	1	0	0.00
Intermedium	1	0	0.00
Concerto grosso	1	0	0.00
Serenade	1	0	0.00
Introduktion	1	0	0.00
Rondo	1	0	0.00
Leichenpredigt	1	0	0.00
Bildband	1	0	0.00
History	1	0	0.00
Führer	1	0	0.00
Gegenstand	1	0	0.00
Erschliessung Normalniveau	1	0	0.00
Gebet	1	0	0.00
Handschrif	1	0	0.00
Beispielsammlung	1	0	0.00
Handschrift $2 gnd-content	1	0	0.00
Sonaten	1	0	0.00
Andante	1	0	0.00
Variationen	1	0	0.00
Versett	1	0	0.00
DVD-Audio	1	0	0.00
"Publikation
                  Sonderdruck"	1	0	0.00
Beitrag	1	0	0.00
Konvolute von Briefen	1	0	0.00
Echter Nachlass	1	0	0.00
